book_freq,isNoble,popularity,has_title,has_culture,has_mother,has_father,has_heir,has_house,survival_prob,relevance_score,relevance_category
0.6,0,0.013377926,0,0,0,0,0,1,0.99,0.3518444815,Medium
0.2,0,0.02006689,0,0,0,0,0,1,0.724,0.21361672249999997,Low
0.2,0,0.013377926,0,0,0,0,0,1,0.813,0.22529448149999998,Low
0.2,0,0.003344482,0,0,0,0,0,1,0.32299999999999995,0.1492861205,Low
0.2,0,0.043478261,0,1,0,0,0,0,0.07999999999999996,0.12286956524999999,Low
0.2,0,0.02006689,0,1,0,0,0,1,0.998,0.3047167225,Medium
1.0,1,0.170568562,1,1,0,0,0,1,0.15200000000000002,0.6154421405,High
0.0,1,0.040133779,1,0,0,0,0,1,0.13,0.27953344475,Medium
0.2,1,0.026755853,1,0,0,0,0,1,0.747,0.41873896325,Medium
0.0,0,1.0,0,0,1,1,1,0,0.03600000000000003,0.3054,Medium
0.2,1,0.013377926,1,0,0,0,0,1,0.598,0.3930444815,Medium
0.2,0,0.003344482,0,1,0,0,0,0,0.494,0.17493612050000001,Low
0.4,0,0.010033445,0,1,0,0,0,0,0.999,0.30235836125,Medium
0.2,0,0.013377926,0,1,0,0,0,0,0.665,0.20309448150000003,Low
0.2,0,0.006688963,0,0,0,0,0,1,0.32799999999999996,0.15087224075,Low
0.2,0,0.043478261,0,0,0,0,0,1,0.29600000000000004,0.15526956525000002,Low
0.2,0,0.046822742,0,1,0,0,0,1,0.933,0.3016556855,Medium
0.2,0,0.030100334,0,1,0,0,0,0,0.714,0.21462508349999998,Low
0.2,0,0.023411371,0,1,0,0,0,1,0.945,0.29760284275,Medium
0.2,0,0.02006689,0,1,0,0,0,0,0.982,0.2523167225,Medium
0.2,0,0.070234114,0,0,0,0,0,1,0.21299999999999997,0.14950852850000002,Low
0.4,0,0.023411371,0,0,0,0,0,1,0.968,0.30105284275,Medium
0.2,0,0.006688963,0,0,0,0,0,0,0.983,0.19912224075,Low
0.2,0,0.033444816,0,0,0,0,0,0,0.20999999999999996,0.089861204,Low
0.2,0,0.016722408,0,0,0,0,0,1,0.968,0.249380602,Low
0.2,0,0.013377926,0,1,0,0,0,0,0.98,0.2503444815,Medium
0.2,1,0.013377926,1,0,0,0,0,1,0.6659999999999999,0.4032444815,Medium
0.2,1,0.02006689,1,0,0,0,0,0,0.994,0.40411672249999997,Medium
0.2,0,0.016722408,0,1,0,0,0,0,0.724,0.21278060199999999,Low
0.0,0,0.056856187,0,1,0,0,0,0,0.21199999999999997,0.09601404675,Low
0.2,0,0.016722408,0,1,0,0,0,1,0.997,0.30373060199999996,Medium
0.6,0,0.016722408,0,0,0,0,0,1,0.908,0.340380602,Medium
0.4,1,0.006688963,1,0,0,0,0,0,0.74,0.41267224075,Medium
0.6,0,0.013377926,0,1,0,0,0,1,0.969,0.3986944815,Medium
0.2,0,0.006688963,0,0,0,0,0,1,0.997,0.25122224075,Medium
0.2,0,0.010033445,0,0,0,0,0,1,0.14200000000000002,0.12380836125000001,Low
0.4,0,0.006688963,0,1,0,0,0,0,0.873,0.28262224075,Medium
0.2,0,0.016722408,0,0,0,0,0,0,0.719,0.162030602,Low
0.2,1,0.006688963,1,0,0,0,0,1,0.989,0.4500222407499999,Medium
0.2,0,0.013377926,0,1,0,0,0,1,0.8260000000000001,0.27724448150000003,Medium
0.0,1,0.046822742,1,0,0,0,0,1,0.15000000000000002,0.2842056855,Medium
0.6,0,0.026755853,0,1,0,0,0,0,0.31000000000000005,0.25318896325,Medium
0.2,0,0.0,0,1,0,0,0,1,0.937,0.29055,Medium
0.2,1,0.013377926,1,0,0,0,0,0,0.772,0.3691444815,Medium
0.0,0,0.090301003,0,1,0,0,0,0,0.19299999999999995,0.10152525074999999,Low
0.2,0,0.006688963,0,0,0,0,0,1,0.8029999999999999,0.22212224074999998,Low
0.4,0,0.023411371,0,1,0,0,0,0,0.983,0.30330284275,Medium
0.2,0,0.006688963,0,0,0,0,0,1,0.868,0.23187224074999996,Low
0.0,0,0.016722408,0,0,0,1,0,0,0.661,0.11999726866666667,Low
0.2,1,0.0,1,0,0,0,0,1,0.598,0.3897,Medium
0.0,0,0.053511706,0,0,0,0,0,0,0.19299999999999995,0.04232792649999999,Low
0.2,0,0.003344482,0,0,0,0,0,0,0.74,0.1618361205,Low
0.2,0,0.010033445,0,0,0,0,0,1,0.74,0.21350836125,Low
0.2,1,0.030100334,1,1,0,0,0,0,0.4,0.36752508349999996,Medium
0.4,0,0.016722408,0,1,0,0,0,1,0.927,0.343230602,Medium
0.2,1,0.003344482,1,0,0,0,0,0,0.759,0.36468612050000004,Medium
0.2,0,0.013377926,0,0,0,0,0,1,0.76,0.21734448150000002,Low
0.2,0,0.006688963,0,0,0,0,0,1,0.32299999999999995,0.15012224075,Low
0.2,0,0.013377926,0,1,0,0,0,1,0.796,0.2727444815,Medium
0.2,0,0.133779264,0,0,0,0,0,1,0.725,0.24219481599999998,Low
0.6,0,0.023411371,0,1,0,0,0,1,0.796,0.37525284275,Medium
0.2,0,0.006688963,0,1,0,0,0,1,0.6739999999999999,0.25277224075,Medium
0.2,0,0.003344482,0,0,0,0,0,1,0.838,0.2265361205,Low
0.2,0,0.016722408,0,0,0,0,0,1,0.998,0.253880602,Medium
0.2,0,0.010033445,0,0,0,0,0,0,0.76,0.16650836125,Low
